"Дата","Месяц","Гос. облигации (ОФЗ) Первичный рынок","Корпоративные Первичный рынок","Гос. облигации (ОФЗ) Вторичный рынок","Корпоративные Вторичный рынок","Ставка","Структурный профицит/дефицит","Доли нерезидентов","Cbonds-CBI RU BBB/ruAA- YTM eff","Cbonds-CBI RU BB/ruBBB YTM eff","Cbonds-CBI RU B/ruB- YTM eff","Cbonds-CBI RU High Yield YTM eff","Cbonds-GBI RU YTM eff"
"2012","9","66375050439.88","87904039000.00","376289161314.16","434659155106.70","","2121","10.60","8.28","8.90","10.46","","7.76"
"2012","10","123023371879.84","285479061000.00","666313174328.28","603470310483.90","","2365","12.50","8.40","8.98","10.29","","7.27"
"2012","11","90899184609.36","58698787000.00","497264849516.27","475946996404.84","","2586","14.80","8.37","8.88","10.40","","6.89"
"2012","12","91873171109.52","169833507000.00","538071764985.40","640527505426.21","","2225","17.40","8.18","8.75","9.95","","6.69"
"2013","1","72827187070.85","69300000000.00","502030755124.48","466563903069.50","","1967","19.90","7.85","8.61","9.87","","6.58"
"2013","2","77408876321.43","241789313000.00","603466035882.29","498780835036.63","","1716","20.80","7.84","8.60","9.69","","6.62"
"2013","3","41661729330.72","118296645000.00","446762153307.50","658705858747.06","","2050","24.10","7.86","8.59","9.78","","6.78"
"2013","4","124174206093.93","138679000000.00","613183067099.58","672618181383.16","","2110","25.10","7.79","8.27","8.94","","6.44"
"2013","5","41084108772.90","25500000000.00","479678611702.07","404297868582.18","","2192","28.10","7.78","8.21","8.93","","7.01"
"2013","6","9914000000.00","181316155000.00","837604542722.06","454480289863.12","","2174","27.80","7.90","7.68","9.19","","7.28"
"2013","7","70635175354.63","119754692000.00","468251068701.21","544033039073.57","","2609","24.30","7.94","8.25","9.54","","7.15"
"2013","8","36940492735.71","121400000000.00","370240353231.67","496580991930.52","","2622","24.80","7.91","8.30","9.53","","7.34"
"2013","9","57063163512.92","113448000000.00","401079856923.38","469308581044.72","5.5","2878","24.90","7.84","8.32","9.43","","7.20"
"2013","10","136245590392.97","248658104000.00","419065117320.61","591364844434.84","5.5","3070","25.00","7.78","8.25","9.40","","7.10"
"2013","11","84356815104.83","139307600000.00","456267575972.43","351883608900.78","5.5","3476","26.10","7.92","8.29","9.63","","7.56"
"2013","12","58425778639.30","209119668000.00","390943707347.84","586009227380.10","5.5","4009","24.90","7.89","8.43","9.77","","7.47"
"2014","1","11003834520.48","56797380000.00","316858815049.45","338319497283.57","5.5","4003","23.90","8.04","8.57","9.80","","7.95"
"2014","2","24566197717.20","87382349000.00","384614958097.95","449794717921.78","5.5","3659","22.70","8.06","8.62","9.86","","8.04"
